algorithm,max_iters,training_time,f1_score
genetic_alg_queens,1,15.70787501335144,0.827214965557116
genetic_alg_queens,2,22.153138160705566,0.8229037448063268
genetic_alg_queens,3,28.882925987243652,0.8234421185876922
genetic_alg_queens,4,36.80382823944092,0.8256162165317447
genetic_alg_four_peaks,1,59.112738847732544,0.8343260661503543
genetic_alg_four_peaks,2,87.71503281593323,0.8301943528901603
genetic_alg_four_peaks,3,124.00170397758484,0.8566055417553269
genetic_alg_four_peaks,4,152.49910020828247,0.8276910610725411
simulated_annealing_queens,1,0.23354792594909668,0.802853078561095
simulated_annealing_queens,51,7.226465702056885,0.2090898718632622
simulated_annealing_queens,101,14.018924951553345,0.33621054667501793
simulated_annealing_queens,151,20.900533199310303,0.555937361584731
simulated_annealing_queens,201,27.195342779159546,0.23425060766309136
simulated_annealing_queens,251,34.442896127700806,0.3067751359492368
simulated_annealing_queens,301,40.35905480384827,0.5783312705598784
simulated_annealing_queens,351,46.466513872146606,0.1771489098094117
simulated_annealing_queens,401,53.61609387397766,0.772268683910334
simulated_annealing_queens,451,60.68731188774109,0.48221317555284793
simulated_annealing_queens,501,67.81956505775452,0.817433254670331
simulated_annealing_queens,551,72.99489498138428,0.48065767226663814
simulated_annealing_queens,601,80.8261079788208,0.7223428359506389
simulated_annealing_queens,651,86.18134713172913,0.05864653164577846
simulated_annealing_queens,701,96.07237505912781,0.7551425625284734
simulated_annealing_queens,751,101.51393914222717,0.3647817487019249
simulated_annealing_queens,801,106.5086281299591,0.7154100559461638
simulated_annealing_queens,851,114.2709550857544,0.8022763451170358
simulated_annealing_queens,901,119.56356120109558,0.8504167888047782
simulated_annealing_queens,951,131.0243217945099,0.6981557971782474
simulated_annealing_four_peaks,1,0.19598793983459473,0.7337732781717659
simulated_annealing_four_peaks,51,7.112072229385376,0.3909548009440308
simulated_annealing_four_peaks,101,14.249821901321411,0.5651984607160562
simulated_annealing_four_peaks,151,22.30068564414978,0.39454120601211257
simulated_annealing_four_peaks,201,30.494177103042603,0.7228907482721572
simulated_annealing_four_peaks,251,38.41611886024475,0.1614138579916097
simulated_annealing_four_peaks,301,45.37437295913696,0.763619959262405
simulated_annealing_four_peaks,351,53.26180386543274,0.8074603254177332
simulated_annealing_four_peaks,401,60.12837314605713,0.31549455289425116
simulated_annealing_four_peaks,451,66.33884382247925,0.4041203882758642
simulated_annealing_four_peaks,501,76.65719604492188,0.5633844036978721
simulated_annealing_four_peaks,551,85.26881790161133,0.8239101976899845
simulated_annealing_four_peaks,601,89.50216293334961,0.7470139431831889
simulated_annealing_four_peaks,651,100.89257621765137,0.7152040998547688
simulated_annealing_four_peaks,701,109.12585020065308,0.08703794439558969
simulated_annealing_four_peaks,751,110.91265892982483,0.7032194526126168
simulated_annealing_four_peaks,801,123.61662220954895,0.812298265331411
simulated_annealing_four_peaks,851,130.37236618995667,0.8171826239091902
simulated_annealing_four_peaks,901,137.07311987876892,0.4174067900239844
simulated_annealing_four_peaks,951,148.66364407539368,0.41567104558899837
backprop,1,0.2968740463256836,0.8878622473422337
backprop,2,0.5476570129394531,0.8883124874468546
backprop,3,0.6894512176513672,0.893835345768471
backprop,4,0.5142529010772705,0.8986809713760836
backprop,5,0.6534390449523926,0.8963979045867895
backprop,6,0.6502110958099365,0.9015855566146229
backprop,7,1.7651309967041016,0.8959714262776174
backprop,8,1.3562078475952148,0.9012631846667337
backprop,9,1.0872650146484375,0.8999247998518427
backprop,10,1.1902060508728027,0.89936720540092
backprop,11,1.591120958328247,0.9012770626453226
backprop,12,2.1304361820220947,0.8982709891112225
backprop,13,1.8487951755523682,0.9032778332964954
backprop,14,2.3377459049224854,0.8967072854819477
backprop,15,2.2002170085906982,0.8997384338070685
backprop,16,2.7094290256500244,0.9030976564112528
backprop,17,2.498906135559082,0.9058074300413634
backprop,18,2.9103617668151855,0.9001675973400226
backprop,19,2.8864781856536865,0.8979734129382154
backprop,20,2.889045000076294,0.9030450640229377
random_hill_climb_queens,1,0.2255082130432129,0.032264932952602486
random_hill_climb_queens,51,5.939293146133423,0.05574080705924759
random_hill_climb_queens,101,12.371525764465332,0.4525398355271669
random_hill_climb_queens,151,17.817500829696655,0.706335326814277
random_hill_climb_queens,201,22.39101004600525,0.19766584426703845
random_hill_climb_queens,251,30.484620094299316,0.6662090039127398
random_hill_climb_queens,301,36.51719880104065,0.3809099841862545
random_hill_climb_queens,351,41.39160513877869,0.04038057421851106
random_hill_climb_queens,401,46.56162405014038,0.26047587470494216
random_hill_climb_queens,451,51.36432600021362,0.7708028120176117
random_hill_climb_queens,501,56.98241090774536,0.7965235781073372
random_hill_climb_queens,551,64.27620601654053,0.7705708874209309
random_hill_climb_queens,601,65.38003897666931,0.061669334261348116
random_hill_climb_queens,651,75.12278819084167,0.1026253613278903
random_hill_climb_queens,701,77.53199410438538,0.7666567715213047
random_hill_climb_queens,751,86.65238404273987,0.8296226330236768
random_hill_climb_queens,801,94.91272211074829,0.4469720289963455
random_hill_climb_queens,851,98.68406200408936,0.43782271607926126
random_hill_climb_queens,901,102.41549396514893,0.6371359666081061
random_hill_climb_queens,951,107.3939151763916,0.7496138561331921
random_hill_climb_queens,1001,117.18093681335449,0.09659912905108828
random_hill_climb_four_peaks,1,0.1670060157775879,0.6773727855022543
random_hill_climb_four_peaks,51,6.289026975631714,0.700898003740581
random_hill_climb_four_peaks,101,12.420913219451904,0.3054343664817503
random_hill_climb_four_peaks,151,16.466134071350098,0.6479662961341575
random_hill_climb_four_peaks,201,23.918512105941772,0.12648184574220556
