,name,train_size,train_score,train_score_std,test_score,test_score_std,train_time,train_time_std,test_time,test_time_std
0,kNN,0.0799789529071297,1.0,0.0,0.3191606031996249,0.008666246418911958,0.0023206233978271484,0.0005278937225669062,0.7029989242553711,0.031818194351940596
1,kNN,0.1599579058142594,1.0,0.0,0.3314587181856773,0.014500810276827326,0.002896022796630859,0.0005671437174768235,1.4070672035217284,0.03807824987493462
2,kNN,0.23993685872138912,1.0,0.0,0.35406013664051117,0.021175887365845605,0.002720165252685547,0.0001212261673392622,2.1598001956939696,0.050063437076972424
3,kNN,0.3199158116285188,1.0,0.0,0.3605150081132666,0.011225923250755693,0.003697061538696289,0.001020748984785139,2.8553178310394287,0.05507358627469
4,kNN,0.39989476453564854,1.0,0.0,0.37067799074658475,0.007311742398303625,0.0056459903717041016,0.002913305153552961,3.5938055992126463,0.11061665469991927
5,kNN,0.47987371744277824,1.0,0.0,0.3760973365854491,0.008272576033906517,0.0049683570861816405,0.001135708290718681,4.2700300216674805,0.1301944768674837
6,kNN,0.5598526703499079,1.0,0.0,0.3934006642933736,0.008512674543416652,0.004980230331420898,0.0012179378540585672,4.942949533462524,0.1142156344675608
7,kNN,0.6398316232570376,1.0,0.0,0.3994282014645307,0.006218835670083361,0.0047324180603027345,0.0003826126144242017,5.596498775482178,0.08902797143731447
8,kNN,0.7198105761641673,1.0,0.0,0.3997072123335435,0.008818959403821519,0.005626058578491211,0.0010184355582934694,6.234377241134643,0.11805081087241381
9,kNN,0.7997895290712971,1.0,0.0,0.4052875719719237,0.012114450592133294,0.006180334091186524,0.0016609238918340386,6.92182297706604,0.25173196125625097
10,SVM,0.0799789529071297,1.0,0.0,0.38659372527577535,0.01693134155457024,0.5713077545166015,0.05979543713033762,1.049236011505127,0.06284187001833327
11,SVM,0.1599579058142594,1.0,0.0,0.42925360907784543,0.008977268046220198,2.293798303604126,0.18874797049762249,2.0366390228271483,0.1948690411973992
12,SVM,0.23993685872138912,0.9995613201140839,0.0005372709404583692,0.45082730512422337,0.005450899514670329,5.146101331710815,0.35790546527436684,3.000149631500244,0.1660852582740676
13,SVM,0.3199158116285188,0.9986837199636251,0.000658246238788001,0.4737522390574761,0.0055860552657543,9.03808650970459,0.4342227580878435,3.9352463245391847,0.1886655943368136
14,SVM,0.39989476453564854,0.9980256172268467,0.00041623964558389813,0.4905364150710623,0.011575926143727128,13.761234760284424,0.6588410915825348,4.868773937225342,0.12118097012976754
15,SVM,0.47987371744277824,0.9980256714815301,0.0005595434541312724,0.49734180929926575,0.01355552977824541,19.51098656654358,0.6208194016908843,5.859484624862671,0.12236468911415378
16,SVM,0.5598526703499079,0.9976503196802184,0.000515194862472698,0.5087298399657214,0.010620523378037929,26.19688811302185,0.7735699385647179,6.403909301757812,0.5039844594400976
17,SVM,0.6398316232570376,0.997204576113092,0.0007961633988748967,0.5200445700722246,0.010587870383983117,33.13008446693421,1.9630000961144718,7.103188467025757,0.802956258637914
18,SVM,0.7198105761641673,0.9970767102862407,0.0006938737531901082,0.5219049852481225,0.013158912251450708,41.10616493225098,2.934700804513744,8.060275983810424,1.068429607613476
19,SVM,0.7997895290712971,0.9965156492797782,0.0006769511491266405,0.5357714141117269,0.014635264923804377,49.9141589641571,3.897614688907875,8.44923415184021,1.288073128718957
20,NN,0.0799789529071297,0.18594242691899146,0.0900537457254726,0.09345904687348379,0.024140558865345926,10.069050788879395,6.8526650635736805,0.12908196449279785,0.009549608280348412
21,NN,0.1599579058142594,0.15306250664883034,0.06193217530197937,0.10979611094942732,0.038446139421224344,29.430805492401124,10.906861028706093,0.14197821617126466,0.012445452824771271
22,NN,0.23993685872138912,0.38669416027158454,0.17675781356352635,0.1763297768054939,0.030103516308096812,58.247252368927,18.403375606312935,0.1334367275238037,0.007055695554989788
23,NN,0.3199158116285188,0.3499911571841302,0.06512008589937886,0.19067586491387373,0.020848112968951844,67.01373867988586,14.806002684678141,0.1360157012939453,0.00640537830449663
24,NN,0.39989476453564854,0.47383686873375447,0.23938226604958793,0.2052152619967591,0.07580949251981088,94.35584707260132,27.77729874818124,0.12952132225036622,0.01234201583679807
25,NN,0.47987371744277824,0.36510423126761404,0.08060772936867319,0.21433096354756548,0.05077519731197625,99.46172542572022,36.31378574908714,0.13056864738464355,0.015423969832351257
26,NN,0.5598526703499079,0.5349679294448211,0.0983470484566761,0.2652487166866521,0.048211027674884985,147.80251908302307,42.81982737805191,0.12397041320800781,0.026230931861498517
27,NN,0.6398316232570376,0.3608999742942951,0.11449226068767418,0.23983638243434643,0.044354631406433434,104.58297357559204,44.790524524275945,0.12567644119262694,0.02358097584295387
28,NN,0.7198105761641673,0.5207020046473143,0.08654191520995524,0.268835707347596,0.041766907035715596,179.48578162193297,38.42295896966843,0.11771879196166993,0.021446450140750105
29,NN,0.7997895290712971,0.46763595243654377,0.034515846278462756,0.2559465896533061,0.03730772204022549,170.27867641448975,34.44232919262219,0.11717796325683594,0.029472320775432576
