,name,train_size,train_score,test_score,train_time,test_time
0,kNN,0.0799789529071297,1.0,0.3191606031996249,0.003233194351196289,0.7696485996246338
1,kNN,0.1599579058142594,1.0,0.3314587181856773,0.0023421764373779295,1.6396354675292968
2,kNN,0.23993685872138912,1.0,0.35406013664051117,0.002967548370361328,2.4309080123901365
3,kNN,0.3199158116285188,1.0,0.3605150081132666,0.003103971481323242,3.2617986679077147
4,kNN,0.39989476453564854,1.0,0.37067799074658475,0.0037845611572265626,3.9852115154266357
5,kNN,0.47987371744277824,1.0,0.3760973365854491,0.0049078941345214845,4.661433315277099
6,kNN,0.5598526703499079,1.0,0.3934006642933736,0.00434260368347168,5.40230655670166
7,kNN,0.6398316232570376,1.0,0.3994282014645307,0.006094789505004883,6.265992641448975
8,kNN,0.7198105761641673,1.0,0.3997072123335435,0.006900978088378906,7.047877073287964
9,SVM,0.0799789529071297,1.0,0.38659372527577535,0.6192853927612305,1.1105768203735351
10,SVM,0.1599579058142594,1.0,0.42925360907784543,2.4713971614837646,2.1896918296813963
11,SVM,0.23993685872138912,0.9995613201140839,0.45082730512422337,5.530596160888672,3.2030863761901855
12,SVM,0.3199158116285188,0.9986837199636251,0.4737522390574761,9.676714849472045,4.157377290725708
13,SVM,0.39989476453564854,0.9980256172268467,0.4905364150710623,14.751455926895142,5.499090003967285
14,SVM,0.47987371744277824,0.9980256714815301,0.49734180929926575,20.994148159027098,6.09263277053833
15,SVM,0.5598526703499079,0.9976503196802184,0.5087298399657214,28.094914627075195,6.6438313007354735
16,SVM,0.6398316232570376,0.997204576113092,0.5200445700722246,34.704372358322146,7.31096305847168
17,SVM,0.7198105761641673,0.9970767102862407,0.5219049852481225,42.5513735294342,7.8727155208587645
18,NN,0.0799789529071297,0.15440631780636377,0.10002387161608026,11.281048250198364,0.14987902641296386
19,NN,0.1599579058142594,0.19681030506052286,0.12464320815984498,42.16566367149353,0.14402079582214355
20,NN,0.23993685872138912,0.4772803911206801,0.20049558023976152,66.53861708641053,0.13891777992248536
21,NN,0.3199158116285188,0.3306158496807108,0.17799202403067,72.29700660705566,0.14065766334533691
22,NN,0.39989476453564854,0.4360074113457696,0.20710332134478712,103.02552633285522,0.14478664398193358
23,NN,0.47987371744277824,0.30230293782931933,0.15971547100814987,102.73284997940064,0.14145855903625487
24,NN,0.5598526703499079,0.456867409348091,0.2546330404323328,135.06333832740785,0.13666868209838867
25,NN,0.6398316232570376,0.3831680059792136,0.232101467471913,135.68110766410828,0.13451476097106935
26,NN,0.7198105761641673,0.5016982451740059,0.27257891295351716,172.43149247169495,0.15765833854675293
