mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.00401155153910319,0.0005789509519271378,1.800676981608073,0.3387703720982285,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.3196527229676401,0.31412786108918705,0.30465666929755325,0.31281241778479346,0.0061923716369059875,14
0.004619439442952474,0.0005656181299494528,2.056861241658529,0.36842216351252904,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.3196527229676401,0.31412786108918705,0.30465666929755325,0.31281241778479346,0.0061923716369059875,14
0.007324934005737305,0.0007614810485046904,1.8512954711914062,0.004233762075783869,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.2959747434885556,0.31018153117600633,0.31018153117600633,0.30544593528018943,0.006697143941782629,21
0.009766499201456705,0.007360128824919818,1.5899601777394612,0.6008516866993753,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.3007103393843725,0.30860299921073403,0.30939226519337015,0.3062352012628256,0.003919932761313167,19
0.00916274388631185,0.0019246039522440204,1.1873220602671306,0.03776582833569615,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.2904498816101026,0.292817679558011,0.31176006314127863,0.29834254143646405,0.009536737153586891,25
0.015159289042154947,0.010612398464779502,1.1071054935455322,0.13014419590626347,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.2936069455406472,0.2967640094711918,0.31018153117600633,0.3001841620626151,0.007185740743881964,23
0.005167961120605469,0.0005213917610564953,1.2601070404052734,0.18495332906782677,euclidean,10,uniform,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.2912391475927388,0.281767955801105,0.2809786898184688,0.2846619310707708,0.004661942948347651,29
0.004669030507405599,0.0015609241411159748,1.2295549710591633,0.1729720010065357,euclidean,10,distance,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.292817679558011,0.2841357537490134,0.2904498816101026,0.289134438305709,0.003664401020043178,27
0.006271521250406901,0.003297550249231893,1.2051485379536946,0.03848024327580856,euclidean,25,uniform,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'uniform'}",0.27071823204419887,0.2430939226519337,0.2565114443567482,0.2567745330176269,0.011279111344501975,33
0.009115457534790039,0.005912401369187478,1.2088077068328857,0.07952599924806128,euclidean,25,distance,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'distance'}",0.2691397000789266,0.2478295185477506,0.2644041041831097,0.260457774269929,0.009136414287916525,31
