mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.010208924611409506,0.0030940689223756448,1.5999733606974285,0.04330070429915838,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.8734863846078488,0.8736759822016571,0.8802707507366805,0.875811039182062,0.0031544420716075813,20
0.008362213770548502,0.0008913793636189897,1.3650519847869873,0.07565296479503025,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.8734863846078488,0.8736759822016571,0.8802707507366805,0.875811039182062,0.0031544420716075813,20
0.010227680206298828,0.003163175013982281,1.595887263615926,0.07914552124802923,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8781474516453783,0.8839899953439652,0.881614009823741,0.8812504856043614,0.0023990194678980554,3
0.005800326665242513,0.0018921762478160058,1.2982980410257976,0.018747257290860676,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.8780238157540324,0.8834903110374077,0.8811576184018446,0.8808905817310949,0.00223966130005333,9
0.004371245702107747,0.00037380598344566535,1.572243054707845,0.006377205441547333,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8802247857898505,0.8811680554675552,0.8821763253975975,0.8811897222183345,0.0007968600028521499,7
0.0038995742797851562,0.00010989691409358595,1.352118968963623,0.02634955695324969,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8796928810020119,0.8823078773675624,0.8815909407945395,0.8811972330547047,0.0011032696365092889,5
0.006154696146647136,0.0018934538731724786,1.618341286977132,0.026280426640142882,euclidean,10,uniform,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.8748797158175123,0.8751770395907836,0.8759530157979027,0.8753365904020662,0.00045246403762230314,24
0.006239970525105794,0.0021224344222715067,1.4286317030588787,0.0041150061449573136,euclidean,10,distance,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.8800959042883875,0.8835326458852171,0.8821807862557987,0.8819364454764678,0.0014136418719458291,1
0.004246314366658528,0.00040576919889162924,1.7019105752309163,0.01953246048231323,euclidean,25,uniform,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'uniform'}",0.8764560454524473,0.8771319723969828,0.8771735498858404,0.8769205225784235,0.0003288732504692137,17
0.0049750010172526045,0.0005711971239765694,1.4873876571655273,0.014827189774044345,euclidean,25,distance,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'distance'}",0.8777443611762169,0.8779802726020418,0.8776687679413916,0.8777978005732168,0.00013266653751790367,15
0.004892905553181966,0.0002314187176091053,1.762674887975057,0.0531228344074934,euclidean,50,uniform,"{'metric': 'euclidean', 'n_neighbors': 50, 'weights': 'uniform'}",0.8718422537048739,0.87369229605125,0.8722969586112069,0.8726105027891102,0.0007871453209621877,30
0.005076964696248372,0.000736250812731002,1.5803980032602947,0.0170261580385134,euclidean,50,distance,"{'metric': 'euclidean', 'n_neighbors': 50, 'weights': 'distance'}",0.8738343595730679,0.875576815493792,0.8741616944467292,0.8745242898378631,0.0007561502153100782,28
0.0072972774505615234,0.0023894817739839734,1.9587666193644206,0.00911755658561756,euclidean,100,uniform,"{'metric': 'euclidean', 'n_neighbors': 100, 'weights': 'uniform'}",0.8637792042226949,0.8668544358930472,0.8632966288139243,0.8646434229765555,0.0015757862257631846,37
0.00656739870707194,0.00027023336344967583,1.7232029438018799,0.005028272820602512,euclidean,100,distance,"{'metric': 'euclidean', 'n_neighbors': 100, 'weights': 'distance'}",0.8655894877646781,0.8678687239691831,0.865894414395383,0.8664508753764147,0.0010102692830922925,35
0.004573663075764974,0.0006846009311459517,8.106704632441202,0.025177688866463894,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.872375044457544,0.8758752451642325,0.8760778076725969,0.8747760324314577,0.001699767696011785,26
0.005220731099446614,0.0008258605370718141,8.213516791661581,0.08285754385857498,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.872375044457544,0.8758752451642325,0.8760778076725969,0.8747760324314577,0.001699767696011785,26
0.005695343017578125,0.0008087693080892882,8.107932567596436,0.09972316900319764,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8785162969936126,0.8807793872906425,0.8784452983285717,0.8792469942042755,0.0010839531450415878,13
0.005423069000244141,0.0013814837539820914,8.488956928253174,0.2592426458601967,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.8785363692483324,0.8801510719869499,0.878704504507944,0.8791306485810754,0.0007248058645013962,14
0.004923582077026367,0.0007905163636639952,8.62536907196045,0.08237565076059644,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8826932267257717,0.8803792276460074,0.8773606201982895,0.8801443581900229,0.002183353054402351,12
0.005136887232462565,0.00042363577200092093,8.956510464350382,0.04125556644398786,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.8821114352239636,0.8806136082527277,0.8782102671401015,0.8803117702055975,0.001606882646546317,11
0.006323575973510742,0.0010070345269543716,9.050330718358358,0.2636486904799149,manhattan,10,uniform,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.8693630587130675,0.8681915379587034,0.8687861568117807,0.8687802511611838,0.00047828957547228735,33
0.0043913523356119795,0.0004334030234812733,8.735323985417685,0.09366130122913453,manhattan,10,distance,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.8761279423799948,0.8767280387621356,0.875609665256641,0.8761552154662571,0.0004569811742101794,19
0.007023970286051433,0.001796165850672956,8.88787833849589,0.1250583936285028,manhattan,25,uniform,"{'metric': 'manhattan', 'n_neighbors': 25, 'weights': 'uniform'}",0.8688771742567825,0.8665822685956007,0.8682738900025119,0.8679111109516318,0.0009713751346241541,34
0.005911429723103841,0.0010364810266111542,8.89485232035319,0.11718736613302874,manhattan,25,distance,"{'metric': 'manhattan', 'n_neighbors': 25, 'weights': 'distance'}",0.8712748172246393,0.8686548350575287,0.8693134487806579,0.8697477003542753,0.0011128065003663057,32
0.00598899523417155,0.0025836336248050793,8.850024302800497,0.10057731069034981,manhattan,50,uniform,"{'metric': 'manhattan', 'n_neighbors': 50, 'weights': 'uniform'}",0.8601964014994133,0.8597117155810693,0.8580189387203899,0.8593090186002909,0.0009334379758913289,40
0.006482680638631185,0.002239703052024986,8.74109927813212,0.15079167257870493,manhattan,50,distance,"{'metric': 'manhattan', 'n_neighbors': 50, 'weights': 'distance'}",0.862607413835077,0.8621973713612484,0.8619735465707463,0.8622594439223573,0.0002624711785186732,39
0.0059778690338134766,0.0006042595851303104,8.92728074391683,0.037928175785028974,manhattan,100,uniform,"{'metric': 'manhattan', 'n_neighbors': 100, 'weights': 'uniform'}",0.8532421944657582,0.8541367873612761,0.8509289594878737,0.852769313771636,0.0013516044859103286,42
0.0065038204193115234,0.0008950603294894737,10.242663065592447,0.771758302015562,manhattan,100,distance,"{'metric': 'manhattan', 'n_neighbors': 100, 'weights': 'distance'}",0.8546668195730747,0.856402499757721,0.8531449335381742,0.8547380842896567,0.0013308502078383756,41
0.007442315419514974,0.0016580406053742518,1.4582207997639973,0.03564820759359999,minkowski,1,uniform,"{'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'uniform'}",0.8734863846078488,0.8736759822016571,0.8802707507366805,0.875811039182062,0.0031544420716075813,20
0.00667262077331543,0.001481282230660727,1.5281087557474773,0.06675037755151476,minkowski,1,distance,"{'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'distance'}",0.8734863846078488,0.8736759822016571,0.8802707507366805,0.875811039182062,0.0031544420716075813,20
0.006519635518391927,0.0013610874113778994,1.6119553248087566,0.016847388309776008,minkowski,3,uniform,"{'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'}",0.8781474516453783,0.8839899953439652,0.881614009823741,0.8812504856043614,0.0023990194678980554,3
