mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_beta_1,param_hidden_layer_sizes,param_momentum,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
41.53393046061198,2.68450304318256,0.013107617696126303,0.00034064068337203405,0.001,0.9,"(128,)",0.5,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (128,), 'momentum': 0.5}",0.8880205798815783,0.8856067588735537,0.8900636896308574,0.8878970094619966,0.001821631170187248,73
41.418861309687294,2.5770636966340565,0.011504650115966797,0.00048464724939282675,0.001,0.9,"(128,)",0.7,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (128,), 'momentum': 0.7}",0.8880205798815783,0.8856067588735537,0.8900636896308574,0.8878970094619966,0.001821631170187248,73
41.57274158795675,2.330309824966996,0.01385641098022461,0.0015303209710626061,0.001,0.9,"(128,)",0.9,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (128,), 'momentum': 0.9}",0.8880205798815783,0.8856067588735537,0.8900636896308574,0.8878970094619966,0.001821631170187248,73
94.5769837697347,9.713788639261004,0.047464609146118164,0.008315043490399545,0.001,0.9,"(512,)",0.5,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (512,), 'momentum': 0.5}",0.8853300809212312,0.8887268675277441,0.888421881184305,0.8874929432110935,0.0015344345605905578,85
95.76666418711345,9.597286726848777,0.0433659553527832,0.007705955293709152,0.001,0.9,"(512,)",0.7,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (512,), 'momentum': 0.7}",0.8853300809212312,0.8887268675277441,0.888421881184305,0.8874929432110935,0.0015344345605905578,85
96.02468729019165,9.554438689825314,0.05665771166483561,0.008822634943080191,0.001,0.9,"(512,)",0.9,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (512,), 'momentum': 0.9}",0.8853300809212312,0.8887268675277441,0.888421881184305,0.8874929432110935,0.0015344345605905578,85
128.04289738337198,14.31446289495796,0.08666237195332845,0.008068873080830923,0.001,0.9,"(1024,)",0.5,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (1024,), 'momentum': 0.5}",0.8898235100402686,0.8872018542962075,0.8914335822476994,0.8894863155280586,0.0017439716106554114,28
138.2762871583303,20.736142129827154,0.0927569071451823,0.009219161546368048,0.001,0.9,"(1024,)",0.7,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (1024,), 'momentum': 0.7}",0.8898235100402686,0.8872018542962075,0.8914335822476994,0.8894863155280586,0.0017439716106554114,28
136.38389205932617,17.27739814025605,0.10964401563008626,0.008430930318077385,0.001,0.9,"(1024,)",0.9,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (1024,), 'momentum': 0.9}",0.8898235100402686,0.8872018542962075,0.8914335822476994,0.8894863155280586,0.0017439716106554114,28
183.48682792981467,9.246406179929664,0.1963187058766683,0.02374747697340995,0.001,0.9,"(2048,)",0.5,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (2048,), 'momentum': 0.5}",0.8912475970723693,0.8877806492066247,0.8914325464136641,0.8901535975642193,0.0016796258503150455,13
182.50048875808716,11.01508582173676,0.20585966110229492,0.02196526133659167,0.001,0.9,"(2048,)",0.7,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (2048,), 'momentum': 0.7}",0.8912475970723693,0.8877806492066247,0.8914325464136641,0.8901535975642193,0.0016796258503150455,13
183.72846229871115,10.463336346791221,0.19748393694559732,0.015255573122971634,0.001,0.9,"(2048,)",0.9,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (2048,), 'momentum': 0.9}",0.8912475970723693,0.8877806492066247,0.8914325464136641,0.8901535975642193,0.0016796258503150455,13
36.79165975252787,1.9830808127309436,0.03327822685241699,0.006874412191159789,0.001,0.9,"(128, 128)",0.5,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (128, 128), 'momentum': 0.5}",0.8856957781481519,0.8816636442303238,0.8852449293408169,0.8842014505730975,0.00180391462045477,136
36.16840513547262,1.6934092276736472,0.029887596766153973,0.0015865536514765015,0.001,0.9,"(128, 128)",0.7,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (128, 128), 'momentum': 0.7}",0.8856957781481519,0.8816636442303238,0.8852449293408169,0.8842014505730975,0.00180391462045477,136
39.93524694442749,3.7908277133312853,0.03195452690124512,0.004064022652733263,0.001,0.9,"(128, 128)",0.9,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (128, 128), 'momentum': 0.9}",0.8856957781481519,0.8816636442303238,0.8852449293408169,0.8842014505730975,0.00180391462045477,136
216.80958112080893,56.492936146236836,0.3209419250488281,0.02200790035820705,0.001,0.9,"(512, 512)",0.5,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (512, 512), 'momentum': 0.5}",0.8905119674603482,0.8841065551285893,0.8918581735954119,0.8888255653947832,0.0033818004237243177,46
216.99246549606323,55.78643246714769,0.321213165918986,0.0287014666652988,0.001,0.9,"(512, 512)",0.7,"{'alpha': 0.001, 'beta_1': 0.9, 'hidden_layer_sizes': (512, 512), 'momentum': 0.7}",0.8905119674603482,0.8841065551285893,0.8918581735954119,0.8888255653947832,0.0033818004237243177,46
