mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
32.796999295552574,0.05716882291956361,13.512644529342651,0.06519828401078868,1,rbf,"{'C': 1, 'kernel': 'rbf'}",0.48743722024973174,0.4778694081310281,0.48366375914943655,0.4829901291767322,0.003934979050329452,7
35.83182175954183,0.05418230083200055,8.381157239278158,0.35206147076696254,1,sigmoid,"{'C': 1, 'kernel': 'sigmoid'}",0.0636094165583207,0.0640831881136022,0.0640831881136022,0.0639252642618417,0.0002233380529818969,22
41.335439602533974,0.16576405388657656,8.709189732869467,0.0895079096613821,3,linear,"{'C': 3, 'kernel': 'linear'}",0.3386322578203922,0.3367620490050073,0.3411341259224005,0.3388428109159333,0.0017910915847478995,15
41.72058574358622,0.03704458083173017,8.609928369522095,0.019576576868828806,3,poly,"{'C': 3, 'kernel': 'poly'}",0.37075781592976864,0.3876088904338643,0.3832385982024509,0.38053510152202796,0.007140090975678074,8
40.62299966812134,0.5590054055850883,14.856456359227499,0.11014651202875919,3,rbf,"{'C': 3, 'kernel': 'rbf'}",0.5094364750993569,0.5144857624208852,0.5195578033348819,0.514493346951708,0.0041320184298265904,2
35.17500297228495,0.10547568593951501,8.405561606089273,0.17725007821024488,3,sigmoid,"{'C': 3, 'kernel': 'sigmoid'}",0.0636094165583207,0.0640831881136022,0.0640831881136022,0.0639252642618417,0.0002233380529818969,22
40.40829316775004,0.2071604006893956,8.57630968093872,0.04756181647048288,5,linear,"{'C': 5, 'kernel': 'linear'}",0.3386322578203922,0.3367620490050073,0.3411341259224005,0.3388428109159333,0.0017910915847478995,15
40.91395123799642,0.1680583011546372,8.778669675191244,0.06814882639002744,5,poly,"{'C': 5, 'kernel': 'poly'}",0.37075781592976864,0.3876088904338643,0.3832385982024509,0.38053510152202796,0.007140090975678074,8
41.38327193260193,0.42916098360036475,14.456656614939371,0.017688286267870307,5,rbf,"{'C': 5, 'kernel': 'rbf'}",0.5113927017452038,0.5211271592704856,0.516061657632039,0.5161938395492428,0.003975174618580135,1
35.723310708999634,0.16689266704422853,8.135960261027018,0.07526394241088126,5,sigmoid,"{'C': 5, 'kernel': 'sigmoid'}",0.0636094165583207,0.0640831881136022,0.0640831881136022,0.0639252642618417,0.0002233380529818969,22
40.2731405099233,0.17797770478594735,8.709563573201498,0.05707732362428045,8,linear,"{'C': 8, 'kernel': 'linear'}",0.3386322578203922,0.3367620490050073,0.3411341259224005,0.3388428109159333,0.0017910915847478995,15
41.160829861958824,0.22803899267854488,8.499930699666342,0.19247794764880172,8,poly,"{'C': 8, 'kernel': 'poly'}",0.37075781592976864,0.3876088904338643,0.3832385982024509,0.38053510152202796,0.007140090975678074,8
41.74136106173197,0.34385779301121117,14.177998383839926,0.11070261322820707,8,rbf,"{'C': 8, 'kernel': 'rbf'}",0.5036560009270452,0.5265814808994356,0.5079183153892926,0.5127185990719244,0.009955783932516294,3
35.83244013786316,0.08465463269399928,8.199596802393595,0.07566878560036153,8,sigmoid,"{'C': 8, 'kernel': 'sigmoid'}",0.0636094165583207,0.0640831881136022,0.0640831881136022,0.0639252642618417,0.0002233380529818969,22
40.22598679860433,0.13643806899608443,8.358309110005697,0.12397657710089496,10,linear,"{'C': 10, 'kernel': 'linear'}",0.3386322578203922,0.3367620490050073,0.3411341259224005,0.3388428109159333,0.0017910915847478995,15
40.924293438593544,0.019009824576401962,8.455339670181274,0.041093330509137584,10,poly,"{'C': 10, 'kernel': 'poly'}",0.37075781592976864,0.3876088904338643,0.3832385982024509,0.38053510152202796,0.007140090975678074,8
41.489687283833824,0.4031624417890427,14.690527518590292,0.08313922388306073,10,rbf,"{'C': 10, 'kernel': 'rbf'}",0.5016909293416064,0.5244959663631605,0.5091854886240667,0.5117907947762778,0.009490631995066704,6
35.61021137237549,0.15115656125625068,8.559393485387167,0.06974249281900007,10,sigmoid,"{'C': 10, 'kernel': 'sigmoid'}",0.0636094165583207,0.0640831881136022,0.0640831881136022,0.0639252642618417,0.0002233380529818969,22
40.31114228566488,0.29572206351610064,8.66879916191101,0.06668920754931641,25,linear,"{'C': 25, 'kernel': 'linear'}",0.3386322578203922,0.3367620490050073,0.3411341259224005,0.3388428109159333,0.0017910915847478995,15
40.92675495147705,0.13381785291407866,8.431029081344604,0.2123863786339454,25,poly,"{'C': 25, 'kernel': 'poly'}",0.37075781592976864,0.3876088904338643,0.3832385982024509,0.38053510152202796,0.007140090975678074,8
41.42022077242533,0.4014744416408201,14.19056232770284,0.31976875574483,25,rbf,"{'C': 25, 'kernel': 'rbf'}",0.5005787223998001,0.5265549992505447,0.5085050149399143,0.5118795788634197,0.010869912634178233,4
34.90326078732809,0.6649373880514635,8.438565254211426,0.29255723198086697,25,sigmoid,"{'C': 25, 'kernel': 'sigmoid'}",0.0636094165583207,0.0640831881136022,0.0640831881136022,0.0639252642618417,0.0002233380529818969,22
39.719714641571045,0.23389530455786922,8.827629963556925,0.18149986092480647,50,linear,"{'C': 50, 'kernel': 'linear'}",0.3386322578203922,0.3367620490050073,0.3411341259224005,0.3388428109159333,0.0017910915847478995,15
41.00507664680481,0.3323065362889618,8.128677924474081,0.901195767426593,50,poly,"{'C': 50, 'kernel': 'poly'}",0.37075781592976864,0.3876088904338643,0.3832385982024509,0.38053510152202796,0.007140090975678074,8
38.60266741116842,3.545685286000321,9.837594270706177,0.7941104543464682,50,rbf,"{'C': 50, 'kernel': 'rbf'}",0.5005787223998001,0.5265549992505447,0.5085050149399143,0.5118795788634197,0.010869912634178233,4
27.77439872423808,1.2492212524304578,6.251046895980835,0.01442916239753846,50,sigmoid,"{'C': 50, 'kernel': 'sigmoid'}",0.0636094165583207,0.0640831881136022,0.0640831881136022,0.0639252642618417,0.0002233380529818969,22
