,dataset_name,n_components,reconstruction_error
190,real_waste,2560,44245.384807516966
191,real_waste,2731,39945.64716015817
192,real_waste,2901,36592.24066865523
193,real_waste,3072,33935.525895483835
194,real_waste,3242,32115.07099118678
195,real_waste,3413,30469.071529427456
196,real_waste,3584,29110.101618482593
197,real_waste,3754,27379.45783240217
198,real_waste,3925,25857.156239859807
199,real_waste,4096,26802.7792875231
200,bank_marketing,1,9.845204863656367
201,bank_marketing,3,5.124367000143533
202,bank_marketing,5,3.1450565784672353
203,bank_marketing,7,1.767552945232327
204,bank_marketing,9,1.4969713917040768
205,bank_marketing,11,1.5633778691157958
206,bank_marketing,13,1.2917535701897929
207,bank_marketing,15,1.146908640274969
208,bank_marketing,17,0.9197144096644418
209,bank_marketing,19,0.7789877596131737
210,bank_marketing,21,0.7399012786682642
211,bank_marketing,23,0.6889681116527285
212,bank_marketing,26,0.7380867740387791
213,bank_marketing,28,0.5537066695870867
214,bank_marketing,30,0.5520620909518389
215,bank_marketing,32,0.4880552285845036
216,bank_marketing,34,0.43392404042486293
217,bank_marketing,36,0.4012992205654294
218,bank_marketing,38,0.3165109777091358
219,bank_marketing,40,0.42856240802820805
220,bank_marketing,42,0.5411750719441814
221,bank_marketing,44,0.3805059739089658
222,bank_marketing,46,0.37224100201188626
223,bank_marketing,48,0.3206629004192479
224,bank_marketing,51,0.2895823661492472
226,real_waste,171,672231.073777073
227,real_waste,342,279501.3718022115
228,real_waste,512,195800.51509348617
229,real_waste,683,156656.51006074436
230,real_waste,854,126434.48244333171
231,real_waste,1024,107821.85856996116
232,real_waste,1195,91370.2805972348
233,real_waste,1366,77758.77529178123
234,real_waste,1536,75186.83497764476
235,real_waste,1707,64413.167638546496
236,real_waste,1877,58903.9560613964
237,real_waste,2048,50294.23488962419
238,real_waste,2219,48282.752011780845
239,real_waste,2389,46919.05363039057
240,real_waste,2560,43247.999217087694
241,real_waste,2731,40869.05627692201
242,real_waste,2901,39232.0877480683
243,real_waste,3072,35690.007765291826
244,real_waste,3242,31463.26558321566
245,real_waste,3413,32902.33745887461
246,real_waste,3584,30273.366035430896
247,real_waste,3754,28514.846926709084
248,real_waste,3925,26904.279155246375
249,real_waste,4096,26202.818772822233
