,dataset_name,model_name,num_clusters,silhouette_avg,calinski_score
0,real_waste,KMeans,2,0.11418389461073616,384.168743098688
1,real_waste,EM,2,0.11418389461073616,384.168743098688
2,real_waste,KMeans,4,0.05134903698250367,247.541208549573
3,real_waste,EM,4,0.04888384179135713,250.63798015539388
4,real_waste,KMeans,6,0.03899475433260828,191.78096340113729
5,real_waste,EM,6,0.045449746415369384,195.1322674761647
6,real_waste,KMeans,8,0.04003441001447362,158.04376065976746
7,real_waste,EM,8,0.0363253495168675,158.06654215805835
8,real_waste,KMeans,10,0.03120506513477948,133.4543467060394
9,real_waste,EM,10,0.013371036228706026,133.32476389733876
10,bank_marketing,KMeans,2,0.9624383411287513,1276.518000540669
11,bank_marketing,EM,2,0.16589024466234564,994.1797412952509
12,bank_marketing,KMeans,4,0.08905214838013936,3359.3250839617162
13,bank_marketing,EM,4,0.03761587217327315,1913.0089087657857
14,bank_marketing,KMeans,6,0.09207088978186774,3112.751311209942
15,bank_marketing,EM,6,0.012678215539099895,1177.6983831466712
16,bank_marketing,KMeans,8,0.10381887419124837,2906.7950912611086
17,bank_marketing,EM,8,0.006708179392140622,919.4556273851325
18,bank_marketing,KMeans,10,0.09468515102684862,2561.596487313947
19,bank_marketing,EM,10,0.015016303863528816,975.916307726396
