,dataset_name,model_name,num_clusters,silhouette_avg,calinski_score
0,real_waste,KMeans,2,0.11418389461073616,384.168743098688
1,real_waste,EM,2,0.11336441885321472,392.299572642369
2,real_waste,KMeans,4,0.05274183224039468,251.95136639734415
3,real_waste,EM,4,0.05101635077616517,254.95149826119135
4,real_waste,KMeans,6,0.04827228123458578,198.70967389396105
5,real_waste,EM,6,0.04680979230530238,198.24805994936966
6,real_waste,KMeans,8,0.04037214879846416,160.19032008543962
7,real_waste,EM,8,0.03521529494373272,157.8707276364178
8,real_waste,KMeans,10,0.027203764835495754,134.54219469905755
9,real_waste,EM,10,0.024924701474191145,130.61481584889862
10,bank_marketing,KMeans,2,0.21770206666669148,4758.709585407639
11,bank_marketing,EM,2,0.20627853109271416,4797.9816042541
12,bank_marketing,KMeans,4,0.0890074967680473,3489.0231494441878
13,bank_marketing,EM,4,0.0315132148120324,2018.6585224712112
14,bank_marketing,KMeans,6,0.1180602846287429,2920.0914011338814
15,bank_marketing,EM,6,0.014594200212068203,1192.9563302921044
16,bank_marketing,KMeans,8,0.08888058874720671,2858.1382838444256
17,bank_marketing,EM,8,0.02436858362540269,1085.244094454099
18,bank_marketing,KMeans,10,0.09649582221811928,2793.7293634731855
19,bank_marketing,EM,10,0.029798262113827606,917.6026058778781
20,real_waste,KMeans,2,0.11458545850943085,390.89347521630094
21,real_waste,EM,2,0.11670456221919322,396.42909922017526
22,real_waste,KMeans,4,0.0504524546357818,252.7382911338057
23,real_waste,EM,4,0.05042867686429256,254.22248541957813
24,real_waste,KMeans,6,0.03879572729826383,194.27803528469082
25,real_waste,EM,6,0.04116360703252816,194.3053584488944
26,real_waste,KMeans,8,0.033853900051542755,157.46386122139833
27,real_waste,EM,8,0.03945790426939702,148.6898001489133
28,real_waste,KMeans,10,0.029303465725053955,135.11099835029313
29,real_waste,EM,10,0.03975555930628801,135.84353093847093
30,bank_marketing,KMeans,2,0.21477042140245664,4815.029462002155
