,dataset_name,model_name,num_clusters,silhouette_avg,calinski_score
31,bank_marketing,EM,2,0.14884648316605598,3214.242495693612
32,bank_marketing,KMeans,4,0.10698685743003561,3326.5657465938316
33,bank_marketing,EM,4,0.021813840667045864,1981.8341877994337
34,bank_marketing,KMeans,6,0.09203481660024299,3105.5252271983672
35,bank_marketing,EM,6,0.017542098486938607,1149.2621091356234
36,bank_marketing,KMeans,8,0.10386975729018207,2908.3658815152603
37,bank_marketing,EM,8,0.02841188495135896,1113.827731087646
38,bank_marketing,KMeans,10,0.08215528057738468,2515.2462730338802
39,bank_marketing,EM,10,0.02071866879372438,927.0498821467885
40,real_waste,KMeans,2,0.11779277199316246,393.94155263705284
41,real_waste,EM,2,0.11599606536246833,385.26450174113637
42,real_waste,KMeans,4,0.051531107972436686,245.94518622728316
43,real_waste,EM,4,0.05058330579760934,247.66733210252949
44,real_waste,KMeans,6,0.041605485500715536,177.67432751888515
45,real_waste,EM,6,0.039428719799663836,193.47096604311068
46,real_waste,KMeans,8,0.03617578501665143,159.82345794279715
47,real_waste,EM,8,0.03971758272833154,161.58766318195205
48,real_waste,KMeans,10,0.03826607518717859,138.16299047166797
49,real_waste,EM,10,0.030879791440293392,133.1677651857506
50,bank_marketing,KMeans,2,0.21867824492403948,4771.923489732987
51,bank_marketing,EM,2,0.20763160285435017,4859.6320266473995
52,bank_marketing,KMeans,4,0.09597579848765596,3409.208762162322
53,bank_marketing,EM,4,0.03508884723873996,1729.473274034972
54,bank_marketing,KMeans,6,0.09173816867432359,3090.367481726861
55,bank_marketing,EM,6,0.014862244243927165,1122.192569612796
56,bank_marketing,KMeans,8,0.08886245531130992,2848.8584833732525
57,bank_marketing,EM,8,0.02452333790905316,935.1071142980668
58,bank_marketing,KMeans,10,0.08665326060360935,2724.9252822748535
59,bank_marketing,EM,10,0.02317906967175177,892.0374398834697
60,real_waste,KMeans,2,0.11585910205607472,396.68316565172216
61,real_waste,EM,2,0.12119629252030478,407.281210560165
62,real_waste,KMeans,4,0.050876014464583216,254.50693186598326
63,real_waste,EM,4,0.05103496694597296,254.45762669400312
64,real_waste,KMeans,6,0.0469689528380269,196.3685881881979
65,real_waste,EM,6,0.04634724159820438,194.83616226784483
66,real_waste,KMeans,8,0.039569304026262034,161.26330839808955
67,real_waste,EM,8,0.04022369051619874,160.60423938059492
68,real_waste,KMeans,10,0.029652953486145862,136.73874808228265
69,real_waste,EM,10,0.028978965785598325,134.90696500356154
70,bank_marketing,KMeans,2,0.21659883332954882,4709.5296096470265
71,bank_marketing,EM,2,0.20970442055317887,4653.223727410183
72,bank_marketing,KMeans,4,0.08821587468762941,3349.4485835894006
73,bank_marketing,EM,4,0.020438505498922715,1990.5266137058347
74,bank_marketing,KMeans,6,0.09262406798691834,3104.4268320063
75,bank_marketing,EM,6,0.031920085436148805,1336.3625207151008
76,bank_marketing,KMeans,8,0.08985243199825878,2673.4941873860225
77,bank_marketing,EM,8,0.001994974998122808,1002.0487667769487
78,bank_marketing,KMeans,10,0.09302983553607914,2600.986294018199
79,bank_marketing,EM,10,0.026467812514292397,947.6716589562079
80,real_waste,KMeans,2,0.11670430657856702,395.0189140652305
81,real_waste,EM,2,0.11790443106203294,391.8283090749875
82,real_waste,KMeans,4,0.05191610781289009,255.86559180374198
83,real_waste,EM,4,0.0479575293089865,254.11952374182187
84,real_waste,KMeans,6,0.04224818495623255,193.0631789631401
85,real_waste,EM,6,0.04627069824870346,196.36145994677366
86,real_waste,KMeans,8,0.04310602098204463,159.96553209934655
87,real_waste,EM,8,0.0339738413498892,158.24772267855633
88,real_waste,KMeans,10,0.03433796881297828,134.21088077911676
89,real_waste,EM,10,0.034796176918409034,137.22496024941046
90,bank_marketing,KMeans,2,0.21637883090189775,4727.75463360372
91,bank_marketing,EM,2,0.20897622793417162,4695.70914933506
92,bank_marketing,KMeans,4,0.10895215378317448,3483.551610068382
93,bank_marketing,EM,4,0.02924038421154465,1680.7836711447721
94,bank_marketing,KMeans,6,0.08710325219177412,2992.086332374556
95,bank_marketing,EM,6,0.016919652304515136,1154.8792450851606
96,bank_marketing,KMeans,8,0.08479492392250425,2657.4816700137867
97,bank_marketing,EM,8,0.023871788728149507,1065.8885102875458
98,bank_marketing,KMeans,10,0.09379514811288112,2773.37895720598
99,bank_marketing,EM,10,0.025338034212971136,895.7528807073488
