,name,dim_red,f1,dim_red_time,nn_time
0,NN,pca,0.8163647420860595,3.651686906814575,50.20153284072876
1,NN,ica,0.7317967846534543,11.356369018554688,41.477893114089966
2,NN,rp,0.6504756637652545,0.006897926330566406,31.045164823532104
3,NN,none,0.8866738482729153,,66.28446412086487
4,NN,pca,0.8162857476685021,3.8172919750213623,57.81482911109924
5,NN,ica,0.7164937774362073,3.9320859909057617,40.64967608451843
6,NN,rp,0.7854433373989602,0.00725102424621582,32.39714026451111
7,NN,none,0.8902041920111897,,54.831501722335815
8,NN,pca,0.808442106823418,3.6314940452575684,42.018595933914185
9,NN,ica,0.7490763383344268,4.494237184524536,54.59670400619507
10,NN,rp,0.6458507420774725,0.012948274612426758,39.70934772491455
11,NN,none,0.8899690954940643,,119.32916402816772
12,NN,pca,0.8114730765242454,3.704437017440796,70.84806680679321
13,NN,ica,0.7042314095804177,15.533872842788696,57.08980393409729
14,NN,rp,0.6335670990068529,0.006253957748413086,74.57522201538086
15,NN,none,0.8904231413615492,,118.25666785240173
16,NN,pca,0.8160646523412253,4.637815952301025,58.14555597305298
17,NN,ica,0.7879609095455156,6.993963003158569,56.04508686065674
18,NN,rp,0.8258181021868566,0.008877038955688477,79.1221570968628
19,NN,none,0.892224221097626,,112.5743842124939
