,dataset_name,n_components,avg_kurtosis
0,bank_marketing,1,302.84730881392437
1,bank_marketing,13,519.4870231379799
2,bank_marketing,26,284.710375266641
3,bank_marketing,39,239.91217156088888
4,bank_marketing,52,151.8185935452143
5,real_waste,1,3.2827268967088217
6,real_waste,951,802.3848194509873
7,real_waste,1901,1556.325210263931
8,real_waste,2851,2377.949625538785
9,real_waste,3802,3796.3224185070444
10,bank_marketing,1,302.84730881392437
11,bank_marketing,13,519.4870231379799
12,bank_marketing,26,284.710375266641
13,bank_marketing,39,239.91217156088888
14,bank_marketing,52,151.8185935452143
15,real_waste,1,3.2827268967088217
16,real_waste,951,802.3848194509873
17,real_waste,1901,1556.325210263931
18,real_waste,2851,2377.949625538785
19,real_waste,3802,3796.3224185070444
20,bank_marketing,1,302.84730881392437
21,bank_marketing,13,519.4870231379799
22,bank_marketing,26,284.710375266641
23,bank_marketing,39,239.91217156088888
24,bank_marketing,52,151.8185935452143
25,real_waste,1,3.2827268967088217
26,real_waste,951,802.3848194509873
27,real_waste,1901,1556.325210263931
28,real_waste,2851,2377.949625538785
29,real_waste,3802,3796.3224185070444
30,bank_marketing,1,302.84730881392437
31,bank_marketing,13,519.4870231379799
32,bank_marketing,26,284.710375266641
33,bank_marketing,39,239.91217156088888
34,bank_marketing,52,151.8185935452143
35,real_waste,1,3.2827268967088217
36,real_waste,951,802.3848194509873
37,real_waste,1901,1556.325210263931
38,real_waste,2851,2377.949625538785
39,real_waste,3802,3796.3224185070444
40,bank_marketing,1,302.84730881392437
41,bank_marketing,13,519.4870231379799
42,bank_marketing,26,284.710375266641
43,bank_marketing,39,239.91217156088888
44,bank_marketing,52,151.8185935452143
45,real_waste,1,3.2827268967088217
46,real_waste,951,802.3848194509873
47,real_waste,1901,1556.325210263931
48,real_waste,2851,2377.949625538785
49,real_waste,3802,3796.3224185070444
