,dataset_name,model_name,num_clusters,silhouette_avg,calinski_score,fit_duration,similarity_score
0,real_waste,KMeans,2,0.1136800949782748,384.1690398008578,0.5852491855621338,0.030328399226366713
1,real_waste,EM,2,0.11418389461073616,384.168743098688,16.13460683822632,0.030769893452021406
2,real_waste,KMeans,4,0.051316585334502465,247.5469968397537,0.4831078052520752,0.04657245427071504
3,real_waste,EM,4,0.051211599198392355,247.50116802314062,28.856640100479126,0.047781854944553566
4,real_waste,KMeans,6,0.04605489651808801,195.14091459093603,0.548656702041626,0.0383262855458856
5,real_waste,EM,6,0.045887371810458676,195.13139741615942,39.53171110153198,0.03807448417088934
6,real_waste,KMeans,8,0.03839282803900764,158.3929201049897,0.6533629894256592,0.05481402791243
7,real_waste,EM,8,0.036133769525276624,145.34189399194125,52.55864071846008,0.05458789475770159
8,real_waste,KMeans,10,0.03383892092348712,134.45539505677493,0.7216689586639404,0.060944954606758694
9,real_waste,EM,10,0.028760989564172768,133.23292460279538,65.61728405952454,0.05643539432178246
10,bank_marketing,KMeans,2,0.21624332264906834,4743.32255806058,0.36585307121276855,0.10400298951608787
11,bank_marketing,EM,2,0.10919922399514358,2540.9522690631006,3.0964419841766357,0.10169158944972595
12,bank_marketing,KMeans,4,0.0890790397921183,3359.2557860765946,0.2905080318450928,0.009648858308735167
13,bank_marketing,EM,4,0.08562877585753423,1763.5739729350325,4.9116432666778564,0.11869636341010724
14,bank_marketing,KMeans,6,0.091706620657818,3013.395322808802,0.2915630340576172,0.007297615256811696
15,bank_marketing,EM,6,0.01370664200733895,1246.5445944233488,6.032125234603882,0.10336064339948768
16,bank_marketing,KMeans,8,0.09982567764280167,3067.461182545157,0.31162118911743164,0.03102479870141017
17,bank_marketing,EM,8,0.005368228999485002,905.1304923292304,12.837655067443848,0.04456299379268602
18,bank_marketing,KMeans,10,0.09612607869710042,2787.410104839716,0.33800196647644043,0.01892911410456432
19,bank_marketing,EM,10,-0.009765994264660459,813.8850454733076,20.348667860031128,0.03347035803435879
20,real_waste,KMeans,2,0.11293202848500594,384.1674926870093,0.3938329219818115,0.030786057392078948
21,real_waste,EM,2,0.11418389461073616,384.168743098688,14.739370822906494,0.030769893452021406
22,real_waste,KMeans,4,0.0514532126134215,247.5100782964815,0.4347829818725586,0.0477515012930592
23,real_waste,EM,4,0.04876209148554977,250.6361784888809,27.726606130599976,0.04109348766612735
24,real_waste,KMeans,6,0.038181633245659666,189.30980094804076,0.7256760597229004,0.03943655232603968
25,real_waste,EM,6,0.04544019106504055,195.08021730930338,41.665547132492065,0.039255302525779995
26,real_waste,KMeans,8,0.025969146617857323,151.28132005861858,0.5657899379730225,0.04934861464292821
27,real_waste,EM,8,0.03689742311870296,156.07137467865405,53.87778091430664,0.04356456780551313
28,real_waste,KMeans,10,0.03490662326922553,127.56826549475694,0.761646032333374,0.04229023879421801
29,real_waste,EM,10,0.03531922000465349,133.3040544271013,68.15640997886658,0.04960032271790193
30,bank_marketing,KMeans,2,0.21624332264906834,4743.32255806058,0.3261866569519043,0.10400298951608787
31,bank_marketing,EM,2,0.20830552904926825,4678.830672462849,2.6159117221832275,0.11670479797277505
32,bank_marketing,KMeans,4,0.08963193697981808,3359.3058836189334,0.3134341239929199,0.009262622788458184
33,bank_marketing,EM,4,0.08562877585753423,1763.5739729350325,5.6097118854522705,0.11869636341010724
34,bank_marketing,KMeans,6,0.09638424821964048,3119.3526096623727,0.30223917961120605,0.006763859305794258
35,bank_marketing,EM,6,0.012678215539099895,1177.6983831466712,6.686666011810303,0.09638229579259723
36,bank_marketing,KMeans,8,0.0824997470507751,2819.0025837330923,0.3247559070587158,0.018493520226180282
37,bank_marketing,EM,8,0.026226384732144732,1011.0413680625487,12.624328851699829,0.055180713463465675
38,bank_marketing,KMeans,10,0.08634453900523537,2730.5235392335494,0.3377420902252197,0.0141191058815705
39,bank_marketing,EM,10,0.02524209594610064,934.1371033671745,9.003606081008911,0.038310368872752354
40,real_waste,KMeans,2,0.11418389461073616,384.168743098688,0.37114906311035156,0.030769893452021406
41,real_waste,EM,2,0.11293202848500594,384.1674926870093,14.113798141479492,0.030786057392078948
42,real_waste,KMeans,4,0.05045643512239502,250.50700037731843,0.5155012607574463,0.041082714786958206
43,real_waste,EM,4,0.05124795059680232,247.51554350797554,27.789146900177002,0.04760491863639305
44,real_waste,KMeans,6,0.045775267122730945,195.06470164045479,0.5521872043609619,0.03938427523672936
45,real_waste,EM,6,0.03894759577699276,191.757183783334,42.16196084022522,0.04835902637110001
46,real_waste,KMeans,8,0.042020831627312946,155.26173865479586,0.564838171005249,0.043383802089614044
47,real_waste,EM,8,0.035482497826211525,158.57715029015222,58.84977102279663,0.05614100525784324
48,real_waste,KMeans,10,0.03540762631738356,134.2618525806788,0.7756130695343018,0.059814880929606795
49,real_waste,EM,10,0.02928143200664177,134.26298848574638,70.74421691894531,0.059299478548427806
50,bank_marketing,KMeans,2,0.09253373563799672,2952.1055143157223,0.3635437488555908,0.0206640884751701
51,bank_marketing,EM,2,0.20830552904926825,4678.830672462849,1.6577720642089844,0.11670479797277505
52,bank_marketing,KMeans,4,0.08940114068139567,3359.3674694744363,0.2848529815673828,0.00952934858299088
53,bank_marketing,EM,4,0.01975023385093162,1976.9839211354295,5.309980869293213,0.09488234554769515
54,bank_marketing,KMeans,6,0.09615238635879042,3119.7855239175324,0.3432610034942627,0.006638998867407643
55,bank_marketing,EM,6,0.011972818365953462,1166.5868804216893,7.961427927017212,0.05189013704105211
56,bank_marketing,KMeans,8,0.08486304463343959,2652.415557439613,0.3313429355621338,0.02678715718134649
57,bank_marketing,EM,8,0.03622700795895342,1055.1633013080204,20.99557590484619,0.03573425335490428
58,bank_marketing,KMeans,10,0.08869985719112165,2489.0060848153103,0.36265015602111816,0.01167869906833803
59,bank_marketing,EM,10,0.023978178269672495,954.6920793236724,19.744318962097168,0.03212976067591162
60,real_waste,KMeans,2,0.11418389461073616,384.168743098688,0.3837161064147949,0.030769893452021406
61,real_waste,EM,2,0.11418389461073616,384.168743098688,14.346899032592773,0.030769893452021406
62,real_waste,KMeans,4,0.05133464643182118,247.50501183603504,0.5129859447479248,0.04782965617104783
63,real_waste,EM,4,0.05133464643182118,247.50501183603504,27.35721182823181,0.04782965617104783
64,real_waste,KMeans,6,0.03851879570120453,192.39581802519547,0.5433521270751953,0.059157095580349116
65,real_waste,EM,6,0.04285354258691971,190.00776780279827,41.36694407463074,0.057406265193878994
66,real_waste,KMeans,8,0.0379945424487991,158.36624165845907,0.6570909023284912,0.05967646022240212
67,real_waste,EM,8,0.03881728539303499,156.77530164067085,54.072253942489624,0.044765234000684107
68,real_waste,KMeans,10,0.03838283908910112,133.73043503536695,1.0244081020355225,0.053623595927086154
69,real_waste,EM,10,0.027312274792501177,130.43513645227137,66.25478410720825,0.050512682354504054
70,bank_marketing,KMeans,2,0.07936873297234322,2848.105822765535,0.4072000980377197,-0.0041800827913841
71,bank_marketing,EM,2,0.20830552904926825,4678.830672462849,1.960777997970581,0.11670479797277505
72,bank_marketing,KMeans,4,0.0978497688667611,3325.518062680939,0.3054680824279785,0.024556174099609487
73,bank_marketing,EM,4,0.01967532263813009,1961.4212119978777,4.573623895645142,0.0901722823345199
74,bank_marketing,KMeans,6,0.08962378225335606,3037.147391029125,0.2972068786621094,0.00647971715710554
75,bank_marketing,EM,6,0.012129282213043808,1149.0135906404528,9.247406244277954,0.04969511192882903
76,bank_marketing,KMeans,8,0.09088290295442132,2874.5878222620136,0.33374500274658203,0.017426824916327275
77,bank_marketing,EM,8,0.027307061993056218,1078.5180708016153,14.414534091949463,0.041346237470781144
78,bank_marketing,KMeans,10,0.09409181945124974,2769.6533084695725,0.3397088050842285,0.02611519025548656
79,bank_marketing,EM,10,0.02200737568815362,871.5817445652966,15.236757040023804,0.04086905733954225
80,real_waste,KMeans,2,0.11418389461073616,384.168743098688,0.36803579330444336,0.030769893452021406
81,real_waste,EM,2,0.11303820167519472,384.17325831903264,14.852528095245361,0.030618741398493198
82,real_waste,KMeans,4,0.049333237195144014,250.5840490622842,0.46576976776123047,0.041604552018187115
83,real_waste,EM,4,0.050630604842768434,250.5070538261833,28.99698805809021,0.041447200208023754
84,real_waste,KMeans,6,0.044833499195438484,195.0164205698687,0.6941630840301514,0.03913390906735918
85,real_waste,EM,6,0.04321147336568851,176.97174905037468,41.775224924087524,0.03732938824945095
86,real_waste,KMeans,8,0.037285042881599645,156.9158912689552,0.7032859325408936,0.046766783010678346
87,real_waste,EM,8,0.038587261901442585,158.14384409534384,55.09572196006775,0.06205059255293725
88,real_waste,KMeans,10,0.025467219328382994,133.8115322467776,1.2189702987670898,0.06300565859429955
89,real_waste,EM,10,0.02192879905575116,133.75247176068234,66.2956268787384,0.06618128812295283
90,bank_marketing,KMeans,2,0.19373978140191025,2103.350216540829,0.3938288688659668,-0.04839010000394527
91,bank_marketing,EM,2,0.1282459444776036,2864.6609419412516,2.51718807220459,0.11913607574056065
