,name,dim_red,f1,dim_red_time,nn_time
0,NN,pca,0.7960029964212861,4.369441986083984,58.205721855163574
1,NN,ica,0.7770564940680611,9.713635206222534,30.403738021850586
2,NN,rp,0.7798322544383729,0.0034101009368896484,23.971858024597168
3,NN,none,0.888583391955456,,65.1648497581482
4,NN,pca,0.8156779292982109,4.207102060317993,58.060770988464355
5,NN,ica,0.8147740054451469,2.2802300453186035,39.89699697494507
6,NN,rp,0.8048805565902046,0.006207942962646484,27.993436813354492
7,NN,none,0.8864331903316834,,82.50817084312439
8,NN,pca,0.8061226246611091,4.146188020706177,54.36933612823486
9,NN,ica,0.8019731905047669,2.372300863265991,41.116169929504395
10,NN,rp,0.6909304661768657,0.006417989730834961,25.881688833236694
11,NN,none,0.889216939146356,,64.3924732208252
12,NN,pca,0.8203083737535625,4.095873117446899,48.07876682281494
13,NN,ica,0.8171273662189216,10.027275085449219,37.09835076332092
14,NN,rp,0.730289743434022,0.006697893142700195,21.62947416305542
15,NN,none,0.8898622813593366,,55.51635694503784
16,NN,pca,0.7942121132002391,4.503726959228516,58.17948508262634
17,NN,ica,0.7700952705376302,9.750601053237915,32.873384952545166
18,NN,rp,0.8094013319799571,0.007384061813354492,17.971069812774658
19,NN,none,0.8909015079748429,,64.11676788330078
